Comment,Designator,Footprint,LCSC
"0.1uf","C1,C2,C4,C5,C11","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","C1620173"
"CP","C10","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm",""
"470pf","C3,C6","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","C1620141"
"DNP","C7,C8","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm",""
"10uf","C9","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","C2761740"
"1N914","D1,D4","HammerheadAudio:DO-35-P5mm","C258180"
"LED","D3,D6,D8","LED_THT:LED_D5.0mm","C2895493"
"1N4001","D2,D5,D7","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","C2456"
"DNP","D9","LED_THT:LED_D5.0mm","C2895493"
"MountingHole","H1,H2,H3,H4","HammerheadAudio:M3_MOUNT_KEEPOUT",""
"MAGNET1","J1","HammerheadAudio:Phoenix_Stacked_Marking2","C430324"
"MAGNET2","J2","HammerheadAudio:Phoenix_Stacked_Marking2","C430324"
"INPUT_JACK","J3","HammerheadAudio:Tayda_SwitchedStereoJack-PJ-307","C16684"
"PWR_IN","J4","HammerheadAudio:Phoenix_Stacked_Marking2","C430324"
"2N3904","Q1,Q4","Package_TO_SOT_THT:TO-92_Inline","C2874602"
"TIP122","Q2,Q5","HammerheadAudio:TO-220_BigHeatsink","C16283"
"TIP32A","Q3,Q6","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","C2927632"
"DNP","Q7","Package_TO_SOT_THT:TO-92_Inline","C2874602"
"1M","R1,R10","HammerheadAudio:R_THT_P7.62",""
"1k","R2,R9,R11,R18,R19","HammerheadAudio:R_THT_P7.62","C2894541"
"DNP","R20,R21,R22","HammerheadAudio:R_THT_P7.62",""
"100k","R3,R4,R12,R13","HammerheadAudio:R_THT_P7.62","C714036"
"10k","R5,R6,R14,R15","HammerheadAudio:R_THT_P7.62","C172967"
"100R","R7,R8,R16,R17","HammerheadAudio:R_THT_P7.62","C57438"
"A1M","RV1,RV3","HammerheadAudio:PTV09_PT6_Stacked","C5205027"
"B10K","RV2,RV4","HammerheadAudio:PTV09_PT6_Stacked","C5205027"
"DNP","SW1","HammerheadAudio:Tayda_Slide_SPDT",""
"LM324","U1","Package_DIP:DIP-14_W7.62mm_Socket","C132508"
"TEENSY_3.6_MINIMAL","U2","MeowWolf_Templates:TEENSY_3.5_3.6_MINIMAL",""
"R-78E5.0-0.5","U3","Converter_DCDC:Converter_DCDC_RECOM_R-78E-0.5_THT",""
