Ref,Val,Package,PosX,PosY,Rot,Side
"HH_LOGO_32x16","","HH_LOGO_32x16",138.000000,-92.000000,180.000000,bottom
"C1","0.1uf","C_Disc_D3.0mm_W2.0mm_P2.50mm",54.500000,-85.000000,270.000000,top
"C2","0.1uf","C_Disc_D3.0mm_W2.0mm_P2.50mm",85.000000,-73.500000,270.000000,top
"C3","470pf","C_Disc_D3.0mm_W2.0mm_P2.50mm",85.000000,-98.250000,270.000000,top
"C4","0.1uf","C_Disc_D3.0mm_W2.0mm_P2.50mm",58.500000,-85.000000,270.000000,top
"C5","0.1uf","C_Disc_D3.0mm_W2.0mm_P2.50mm",85.000000,-82.000000,90.000000,top
"C6","470pf","C_Disc_D3.0mm_W2.0mm_P2.50mm",85.000000,-113.500000,90.000000,top
"C7","10uf","C_Disc_D5.1mm_W3.2mm_P5.00mm",74.000000,-64.250000,270.000000,top
"C8","10uf","C_Disc_D5.1mm_W3.2mm_P5.00mm",69.750000,-131.000000,90.000000,top
"C9","10uf","C_Disc_D5.1mm_W3.2mm_P5.00mm",74.750000,-131.000000,90.000000,top
"C10","CP","CP_Radial_D10.0mm_P5.00mm",58.000000,-74.000000,270.000000,top
"C11","0.1uf","C_Disc_D3.0mm_W2.0mm_P2.50mm",85.000000,-108.250000,90.000000,top
"D1","1N914","DO-35-P5mm",85.000000,-69.750000,0.000000,top
"D2","1N4001","D_DO-41_SOD81_P7.62mm_Horizontal",133.500000,-61.500000,270.000000,top
"D3","LED","LED_D5.0mm",135.500000,-55.000000,0.000000,top
"D4","1N914","DO-35-P5mm",85.000000,-89.000000,270.000000,top
"D5","1N4001","D_DO-41_SOD81_P7.62mm_Horizontal",133.500000,-131.000000,270.000000,top
"D6","LED","LED_D5.0mm",135.500000,-145.000000,0.000000,top
"D7","1N4001","D_DO-41_SOD81_P7.62mm_Horizontal",66.500000,-69.250000,90.000000,top
"D8","LED","LED_D5.0mm",64.500000,-55.000000,180.000000,top
"D9","LED","LED_D5.0mm",56.500000,-135.500000,270.000000,top
"G***","LOGO","HotSymbol",146.500000,-114.000000,90.000000,top
"G***","LOGO","HotSymbol",146.500000,-86.000000,90.000000,top
"HH_LOGO_17.5x8.75mm","","HH_LOGO_17.5x8.75mm",82.500000,-117.000000,0.000000,top
"J1","MAGNET1","Phoenix_Stacked_Marking2",142.000000,-67.250000,90.000000,top
"J2","MAGNET2","Phoenix_Stacked_Marking2",142.000000,-136.500000,90.000000,top
"J3","INPUT_JACK","Tayda_SwitchedStereoJack-PJ-307",49.000000,-95.000000,270.000000,top
"J4","PWR_IN","Phoenix_Stacked_Marking2",58.000000,-63.500000,270.000000,top
"Q1","2N3904","TO-92_Inline",77.500000,-73.500000,270.000000,top
"Q2","TIP122","TO-220_BigHeatsink",122.000000,-86.000000,0.000000,top
"Q3","TIP32A","TO-220-3_Horizontal_TabDown",119.500000,-82.000000,0.000000,top
"Q4","2N3904","TO-92_Inline",77.500000,-79.500000,270.000000,top
"Q5","TIP122","TO-220_BigHeatsink",122.000000,-114.000000,180.000000,top
"Q6","TIP32A","TO-220-3_Horizontal_TabDown",124.500000,-118.000000,180.000000,top
"Q7","2N3904","TO-92_Inline",73.500000,-119.750000,180.000000,top
"R1","1M","R_THT_P7.62",61.500000,-106.500000,180.000000,top
"R2","1k","R_THT_P7.62",73.000000,-79.500000,180.000000,top
"R3","100k","R_THT_P7.62",73.000000,-76.500000,180.000000,top
"R4","100k","R_THT_P7.62",73.000000,-73.500000,180.000000,top
"R5","10k","R_THT_P7.62",88.000000,-76.500000,0.000000,top
"R6","10k","R_THT_P7.62",88.000000,-73.500000,0.000000,top
"R7","100R","R_THT_P7.62",78.500000,-61.500000,270.000000,top
"R8","100R","R_THT_P7.62",81.500000,-61.500000,270.000000,top
"R9","220","R_THT_P7.62",130.000000,-69.120000,90.000000,top
"R10","1M","R_THT_P7.62",61.500000,-103.500000,180.000000,top
"R11","1k","R_THT_P7.62",73.000000,-85.500000,180.000000,top
"R12","100k","R_THT_P7.62",73.000000,-82.500000,180.000000,top
"R13","100k","R_THT_P7.62",75.250000,-85.500000,0.000000,top
"R14","10k","R_THT_P7.62",88.000000,-79.500000,0.000000,top
"R15","10k","R_THT_P7.62",88.000000,-82.500000,0.000000,top
"R16","100R","R_THT_P7.62",88.000000,-85.500000,0.000000,top
"R17","100R","R_THT_P7.62",88.000000,-88.500000,0.000000,top
"R18","220","R_THT_P7.62",130.000000,-131.000000,270.000000,top
"R19","220","R_THT_P7.62",70.000000,-69.250000,90.000000,top
"R20","220","R_THT_P7.62",61.500000,-109.750000,180.000000,top
"R21","1k","R_THT_P7.62",61.500000,-112.750000,180.000000,top
"R22","100k","R_THT_P7.62",76.000000,-115.500000,180.000000,top
"RV1","A1M","PTV09_PT6_Stacked",90.000000,-54.000000,270.000000,top
"RV2","B10K","PTV09_PT6_Stacked",110.000000,-54.000000,270.000000,top
"RV3","A1M","PTV09_PT6_Stacked",90.000000,-146.000000,90.000000,top
"RV4","B10K","PTV09_PT6_Stacked",110.000000,-146.000000,90.000000,top
"SW1","SW_SPDT","Tayda_Slide_SPDT",56.500000,-124.000000,270.000000,top
"U1","LM324","DIP-14_W7.62mm_Socket",88.000000,-98.250000,0.000000,top
"U2","TEENSY_3.6_MINIMAL","TEENSY_3.5_3.6_MINIMAL",72.250000,-119.500000,90.000000,top
