Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
HH_LOGO_32x16,,HH_LOGO_32x16,138.0,-92.0,180.0,bottom
C1,0.1uf,C_Disc_D3.0mm_W2.0mm_P2.50mm,54.5,-85.0,270.0,top
C2,0.1uf,C_Disc_D3.0mm_W2.0mm_P2.50mm,85.0,-73.5,270.0,top
C3,470pf,C_Disc_D3.0mm_W2.0mm_P2.50mm,85.0,-98.25,270.0,top
C4,0.1uf,C_Disc_D3.0mm_W2.0mm_P2.50mm,58.5,-85.0,270.0,top
C5,0.1uf,C_Disc_D3.0mm_W2.0mm_P2.50mm,85.0,-82.0,90.0,top
C6,470pf,C_Disc_D3.0mm_W2.0mm_P2.50mm,85.0,-113.5,90.0,top
C7,10uf,C_Disc_D5.1mm_W3.2mm_P5.00mm,74.0,-64.25,270.0,top
C8,10uf,C_Disc_D5.1mm_W3.2mm_P5.00mm,69.75,-131.0,90.0,top
C9,10uf,C_Disc_D5.1mm_W3.2mm_P5.00mm,74.75,-131.0,90.0,top
C10,CP,CP_Radial_D10.0mm_P5.00mm,58.0,-74.0,270.0,top
C11,0.1uf,C_Disc_D3.0mm_W2.0mm_P2.50mm,85.0,-108.25,90.0,top
D1,1N914,DO-35-P5mm,85.0,-69.75,0.0,top
D2,1N4001,D_DO-41_SOD81_P7.62mm_Horizontal,133.5,-61.5,270.0,top
D3,LED,LED_D5.0mm,135.5,-55.0,0.0,top
D4,1N914,DO-35-P5mm,85.0,-89.0,270.0,top
D5,1N4001,D_DO-41_SOD81_P7.62mm_Horizontal,133.5,-131.0,270.0,top
D6,LED,LED_D5.0mm,135.5,-145.0,0.0,top
D7,1N4001,D_DO-41_SOD81_P7.62mm_Horizontal,66.5,-69.25,90.0,top
D8,LED,LED_D5.0mm,64.5,-55.0,180.0,top
D9,LED,LED_D5.0mm,56.5,-135.5,270.0,top
G***,LOGO,HotSymbol,146.5,-114.0,90.0,top
G***,LOGO,HotSymbol,146.5,-86.0,90.0,top
HH_LOGO_17.5x8.75mm,,HH_LOGO_17.5x8.75mm,82.5,-117.0,0.0,top
J1,MAGNET1,Phoenix_Stacked_Marking2,142.0,-67.25,90.0,top
J2,MAGNET2,Phoenix_Stacked_Marking2,142.0,-136.5,90.0,top
J3,INPUT_JACK,Tayda_SwitchedStereoJack-PJ-307,49.0,-95.0,270.0,top
J4,PWR_IN,Phoenix_Stacked_Marking2,58.0,-63.5,270.0,top
Q1,2N3904,TO-92_Inline,77.5,-73.5,270.0,top
Q2,TIP122,TO-220_BigHeatsink,122.0,-86.0,0.0,top
Q3,TIP32A,TO-220-3_Horizontal_TabDown,119.5,-82.0,0.0,top
Q4,2N3904,TO-92_Inline,77.5,-79.5,270.0,top
Q5,TIP122,TO-220_BigHeatsink,122.0,-114.0,180.0,top
Q6,TIP32A,TO-220-3_Horizontal_TabDown,124.5,-118.0,180.0,top
Q7,2N3904,TO-92_Inline,73.5,-119.75,180.0,top
R1,1M,R_THT_P7.62,61.5,-106.5,180.0,top
R2,1k,R_THT_P7.62,73.0,-79.5,180.0,top
R3,100k,R_THT_P7.62,73.0,-76.5,180.0,top
R4,100k,R_THT_P7.62,73.0,-73.5,180.0,top
R5,10k,R_THT_P7.62,88.0,-76.5,0.0,top
R6,10k,R_THT_P7.62,88.0,-73.5,0.0,top
R7,100R,R_THT_P7.62,78.5,-61.5,270.0,top
R8,100R,R_THT_P7.62,81.5,-61.5,270.0,top
R9,220,R_THT_P7.62,130.0,-69.12,90.0,top
R10,1M,R_THT_P7.62,61.5,-103.5,180.0,top
R11,1k,R_THT_P7.62,73.0,-85.5,180.0,top
R12,100k,R_THT_P7.62,73.0,-82.5,180.0,top
R13,100k,R_THT_P7.62,75.25,-85.5,0.0,top
R14,10k,R_THT_P7.62,88.0,-79.5,0.0,top
R15,10k,R_THT_P7.62,88.0,-82.5,0.0,top
R16,100R,R_THT_P7.62,88.0,-85.5,0.0,top
R17,100R,R_THT_P7.62,88.0,-88.5,0.0,top
R18,220,R_THT_P7.62,130.0,-131.0,270.0,top
R19,220,R_THT_P7.62,70.0,-69.25,90.0,top
R20,220,R_THT_P7.62,61.5,-109.75,180.0,top
R21,1k,R_THT_P7.62,61.5,-112.75,180.0,top
R22,100k,R_THT_P7.62,76.0,-115.5,180.0,top
RV1,A1M,PTV09_PT6_Stacked,90.0,-54.0,270.0,top
RV2,B10K,PTV09_PT6_Stacked,110.0,-54.0,270.0,top
RV3,A1M,PTV09_PT6_Stacked,90.0,-146.0,90.0,top
RV4,B10K,PTV09_PT6_Stacked,110.0,-146.0,90.0,top
SW1,SW_SPDT,Tayda_Slide_SPDT,56.5,-124.0,270.0,top
U1,LM324,DIP-14_W7.62mm_Socket,88.0,-98.25,0.0,top
U2,TEENSY_3.6_MINIMAL,TEENSY_3.5_3.6_MINIMAL,72.25,-119.5,90.0,top
